Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
38,"Gu Jifa, Zhang Lingling","Data, DIKW, Big Data and Data Science",2014,"Procedia Computer Science","Elsevier BV","https://doi.org/10.1016/j.procs.2014.05.332","",131,"2025-02-06 14:28:58","journal-article","10.1016/j.procs.2014.05.332","1877-0509","",31,,814,821,38,3.45,19,2,11,"","https://api.elsevier.com/content/article/PII:S1877050914005092",""
38,"Paul F. Uhlir, Peter Schröder","Open Data for Global Science",2007,"Data Science Journal","Ubiquity Press, Ltd.","https://doi.org/10.2481/dsj.6.od36","",336,"2025-02-06 14:28:58","journal-article","10.2481/dsj.6.od36","1683-1470","",6,,,,38,2.11,19,2,18,"","https://doi.org/10.2481/dsj.6.OD36",""
36,"Liyuan Sun, Hongyun Zhang, Chao Fang","Data security governance in the era of big data: status, challenges, and prospects",2021,"Data Science and Management","Elsevier BV","https://doi.org/10.1016/j.dsm.2021.06.001","",644,"2025-02-06 14:28:58","journal-article","10.1016/j.dsm.2021.06.001","2666-7649","",2,,41,44,36,9.00,12,3,4,"","https://api.elsevier.com/content/article/PII:S2666764921000163",""
33,"Jeannette M. Wing","The Data Life Cycle",2019,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.e26845b4","",129,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.e26845b4","","",,,,,33,5.50,33,1,6,"","",""
33,"","Predictions, Role of Interventions and Effects of a Historic National Lockdown in India's Response to the the COVID-19 Pandemic: Data Science Call to Arms",2020,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.60e08ed5","",552,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.60e08ed5","","",,,,,33,6.60,0,0,5,"","",""
31,"Thomas Donoghue, Bradley Voytek, Shannon E. Ellis","Teaching Creative and Practical Data Science at Scale",2021,"Journal of Statistics and Data Science Education","Informa UK Limited","https://doi.org/10.1080/10691898.2020.1860725","",816,"2025-02-06 14:28:58","journal-article","10.1080/10691898.2020.1860725","2693-9169","",29,,,,31,7.75,10,3,4,"","https://www.tandfonline.com/doi/pdf/10.1080/10691898.2020.1860725",""
30,"David Spiegelhalter","Should We Trust Algorithms?",2020,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.cb91a35a","",282,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.cb91a35a","","",,,,,30,6.00,30,1,5,"","",""
30,"Zongben Xu, Niansheng Tang, Chen Xu, Xueqi Cheng","Data science: connotation, methods, technologies, and development",2021,"Data Science and Management","Elsevier BV","https://doi.org/10.1016/j.dsm.2021.02.002","",378,"2025-02-06 14:28:58","journal-article","10.1016/j.dsm.2021.02.002","2666-7649","",1,1,32,37,30,7.50,8,4,4,"","https://api.elsevier.com/content/article/PII:S2666764921000035",""
30,"Kathleen Gregory, Paul Groth, Andrea Scharnhorst, Sally Wyatt","Lost or Found? Discovering Data Needed for Research",2020,"Harvard Data Science Review","MIT Press - Journals","https://doi.org/10.1162/99608f92.e38165eb","",429,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.e38165eb","","",,,,,30,6.00,8,4,5,"","",""
27,"Gholam R. Amin, Sujeet kumar Sharma","Cricket team selection using data envelopment analysis",2012,"European Journal of Sport Science","Wiley","https://doi.org/10.1080/17461391.2012.705333","",400,"2025-02-06 14:28:58","journal-article","10.1080/17461391.2012.705333","1746-1391","",14,,,,27,2.08,14,2,13,"Abstract: This paper suggests a new method for cricket team selection using data envelopment analysis (DEA). We propose a DEA formulation for evaluation of cricket players in different capabilities using multiple outputs. This evaluation determines efficient and inefficient cricket players and ranks them on the basis of DEA scores. The ranking can be used to choose the required number of players for a cricket team in each cricketing capability. A real dataset, Indian Premier League 4 (IPL 2011), cricket players having various capabilities is used to choose the best cricket team. The proposed method has the advantage of considering multiple factors related to the performance of players in multiple capabilities collected from IPL 4 and aggregates their scores using a linear programming DEA model. This DEA Aggregation gives the scores of players objectively instead of using subjective computations. The proposed DEA method can be used to form a national cricket team from several clubs or a team of top cricketers.","https://onlinelibrary.wiley.com/doi/pdf/10.1080/17461391.2012.705333",""
25,"Jeffrey S. Saltz, Nancy W. Grady","The ambiguity of data science team roles and the need for a data science workforce framework",2017,"2017 IEEE International Conference on Big Data (Big Data)","IEEE","https://doi.org/10.1109/bigdata.2017.8258190","",3,"2025-02-06 14:28:58","proceedings-article","10.1109/bigdata.2017.8258190","","",,,2355,2361,25,3.13,13,2,8,"","http://xplorestaging.ieee.org/ielx7/8241556/8257893/08258190.pdf?arnumber=8258190",""
24,"Gary Marchionini","Information Science Roles in the Emerging Field of Data Science",2016,"Journal of Data and Information Science","Walter de Gruyter GmbH","https://doi.org/10.20309/jdis.201609","",61,"2025-02-06 14:28:58","journal-article","10.20309/jdis.201609","2543-683X","",1,2,1,6,24,2.67,24,1,9,"","https://content.sciendo.com/view/journals/jdis/1/2/article-p1.xml",""
24,"Mine Çetinkaya-Rundel, Victoria Ellison","A Fresh Look at Introductory Data Science",2020,"Journal of Statistics and Data Science Education","Informa UK Limited","https://doi.org/10.1080/10691898.2020.1804497","",591,"2025-02-06 14:28:58","journal-article","10.1080/10691898.2020.1804497","2693-9169","",29,,,,24,4.80,12,2,5,"","https://www.tandfonline.com/doi/pdf/10.1080/10691898.2020.1804497",""
24,"Jeff Calder","Consistency of Lipschitz Learning with Infinite Unlabeled Data and Finite Labeled Data",2019,"SIAM Journal on Mathematics of Data Science","Society for Industrial & Applied Mathematics (SIAM)","https://doi.org/10.1137/18m1199241","",890,"2025-02-06 14:28:58","journal-article","10.1137/18m1199241","2577-0187","",1,4,780,812,24,4.00,24,1,6,"","https://epubs.siam.org/doi/pdf/10.1137/18M1199241",""
22,"Rafael A. Irizarry","The Role of Academia in Data Science Education",2020,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.dd363929","",96,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.dd363929","","",,,,,22,4.40,22,1,5,"","",""
22,"Brian Kim, Graham Henke","Easy-to-Use Cloud Computing for Teaching Data Science",2021,"Journal of Statistics and Data Science Education","Informa UK Limited","https://doi.org/10.1080/10691898.2020.1860726","",638,"2025-02-06 14:28:58","journal-article","10.1080/10691898.2020.1860726","2693-9169","",29,,,,22,5.50,11,2,4,"","https://www.tandfonline.com/doi/pdf/10.1080/10691898.2020.1860726",""
21,"Peter Fox, James Hendler","The Science of Data Science",2014,"Big Data","Mary Ann Liebert Inc","https://doi.org/10.1089/big.2014.0011","",292,"2025-02-06 14:28:58","journal-article","10.1089/big.2014.0011","2167-6461","",2,2,68,70,21,1.91,11,2,11,"","http://www.liebertpub.com/doi/pdf/10.1089/big.2014.0011",""
20,"Federica Calanca, Luiza Sayfullina, Lara Minkus, Claudia Wagner, Eric Malmi","Responsible team players wanted: an analysis of soft skill requirements in job advertisements",2019,"EPJ Data Science","Springer Science and Business Media LLC","https://doi.org/10.1140/epjds/s13688-019-0190-z","",421,"2025-02-06 14:28:58","journal-article","10.1140/epjds/s13688-019-0190-z","2193-1127","",8,1,,,20,3.33,4,5,6,"","http://link.springer.com/content/pdf/10.1140/epjds/s13688-019-0190-z.pdf",""
20,"Prerna Singh","Systematic review of data-centric approaches in artificial intelligence and machine learning",2023,"Data Science and Management","Elsevier BV","https://doi.org/10.1016/j.dsm.2023.06.001","",929,"2025-02-06 14:28:58","journal-article","10.1016/j.dsm.2023.06.001","2666-7649","",6,3,144,157,20,10.00,20,1,2,"","https://api.elsevier.com/content/article/PII:S2666764923000279",""
19,"ACM Data Science Task Force","Computing competencies for undergraduate data science curricula",2021,"","ACM","https://doi.org/10.1145/3453538","",227,"2025-02-06 14:28:58","monograph","10.1145/3453538","","",,,,,19,4.75,19,1,4,"","https://dl.acm.org/doi/pdf/10.1145/3453538",""
19,"Daniel L. Oberski, Frauke Kreuter","Differential Privacy and Social Science: An Urgent Puzzle",2020,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.63a22079","",645,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.63a22079","","",2,1,,,19,3.80,10,2,5,"","",""
19,"N. Vervliet, L. De Lathauwer","Numerical Optimization-Based Algorithms for Data Fusion",2019,"Data Handling in Science and Technology","Elsevier","https://doi.org/10.1016/b978-0-444-63984-4.00004-1","",653,"2025-02-06 14:28:58","book-chapter","10.1016/b978-0-444-63984-4.00004-1","0922-3487","",,,81,128,19,3.17,10,2,6,"","https://api.elsevier.com/content/article/PII:B9780444639844000041",""
19,"Martina Stockhause, Michael Lautenschlager","CMIP6 Data Citation of Evolving Data",2017,"Data Science Journal","Ubiquity Press, Ltd.","https://doi.org/10.5334/dsj-2017-030","",949,"2025-02-06 14:28:58","journal-article","10.5334/dsj-2017-030","1683-1470","",16,,,,19,2.38,10,2,8,"","https://doi.org/10.5334/dsj-2017-030",""
18,"Sabina Leonelli","Data Governance is Key to Interpretation: Reconceptualizing Data in Data Science",2019,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.17405bb6","",49,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.17405bb6","","",,,,,18,3.00,18,1,6,"","",""
18,"Anthony Unwin","Why is Data Visualization Important? What is Important in Data Visualization?",2020,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.8ae4d525","",143,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.8ae4d525","","",,,,,18,3.60,18,1,5,"","",""
18,"Sumika Chauhan, Manmohan Singh, Ashwani Kumar Aggarwal","Data Science and Data Analytics: Artificial Intelligence and Machine Learning Integrated Based Approach",2021,"Data Science and Data Analytics","Chapman and Hall/CRC","https://doi.org/10.1201/9781003111290-1-2","",555,"2025-02-06 14:28:58","book-chapter","10.1201/9781003111290-1-2","","",,,3,18,18,4.50,6,3,4,"","",""
18,"Gary Smith, Jay Cordes","The 9 Pitfalls of Data Science",2019,"","Oxford University Press","https://doi.org/10.1093/oso/9780198844396.001.0001","",649,"2025-02-06 14:28:58","edited-book","10.1093/oso/9780198844396.001.0001","","",,,,,18,3.00,9,2,6,"<p>Scientific rigor and critical thinking skills are indispensable in this age of big data because machine learning and artificial intelligence are often led astray by meaningless patterns. <italic>The 9 Pitfalls of Data Science</italic> is loaded with entertaining real-world examples of both successful and misguided approaches to interpreting data, both grand successes and epic failures. Anyone can learn to distinguish between good data science and nonsense. We are confident that readers will learn how to avoid being duped by data, and make better, more informed decisions. Whether they want to be effective creators, interpreters, or users of data, they need to know the nine pitfalls of data science.</p>","",""
18,"Gary Smith, Jay Cordes","The 9 Pitfalls of Data Science",2019,"","Oxford University Press","https://doi.org/10.1093/oso/9780198844396.001.0001","",714,"2025-02-06 14:28:58","edited-book","10.1093/oso/9780198844396.001.0001","","",,,,,18,3.00,9,2,6,"<p>Scientific rigor and critical thinking skills are indispensable in this age of big data because machine learning and artificial intelligence are often led astray by meaningless patterns. <italic>The 9 Pitfalls of Data Science</italic> is loaded with entertaining real-world examples of both successful and misguided approaches to interpreting data, both grand successes and epic failures. Anyone can learn to distinguish between good data science and nonsense. We are confident that readers will learn how to avoid being duped by data, and make better, more informed decisions. Whether they want to be effective creators, interpreters, or users of data, they need to know the nine pitfalls of data science.</p>","",""
17,"Eric A. Vance","Using Team-Based Learning to Teach Data Science",2021,"Journal of Statistics and Data Science Education","Informa UK Limited","https://doi.org/10.1080/26939169.2021.1971587","",20,"2025-02-06 14:28:58","journal-article","10.1080/26939169.2021.1971587","2693-9169","",29,3,277,296,17,4.25,17,1,4,"","https://www.tandfonline.com/doi/pdf/10.1080/26939169.2021.1971587",""
17,"Michael L. Brodie","What Is Data Science?",2019,"Applied Data Science","Springer International Publishing","https://doi.org/10.1007/978-3-030-11821-1_8","",323,"2025-02-06 14:28:58","book-chapter","10.1007/978-3-030-11821-1_8","","",,,101,130,17,2.83,17,1,6,"","http://link.springer.com/content/pdf/10.1007/978-3-030-11821-1_8",""
17,"Yong Shi, Yingjie Tian","Preface",2015,"Annals of Data Science","Springer Science and Business Media LLC","https://doi.org/10.1007/s40745-015-0036-x","",750,"2025-02-06 14:28:58","journal-article","10.1007/s40745-015-0036-x","2198-5804","",2,1,1,3,17,1.70,9,2,10,"","http://link.springer.com/content/pdf/10.1007/s40745-015-0036-x.pdf",""
15,"Antonella Falini","A review on the selection criteria for the truncated SVD in Data Science applications",2022,"Journal of Computational Mathematics and Data Science","Elsevier BV","https://doi.org/10.1016/j.jcmds.2022.100064","",784,"2025-02-06 14:28:58","journal-article","10.1016/j.jcmds.2022.100064","2772-4158","",5,,100064,100064,15,5.00,15,1,3,"","https://api.elsevier.com/content/article/PII:S2772415822000244",""
15,"Ismail Alarab, Simant Prakoonwit","Effect of data resampling on feature importance in imbalanced blockchain data: comparison studies of resampling techniques",2022,"Data Science and Management","Elsevier BV","https://doi.org/10.1016/j.dsm.2022.04.003","",822,"2025-02-06 14:28:58","journal-article","10.1016/j.dsm.2022.04.003","2666-7649","",5,2,66,76,15,5.00,8,2,3,"","https://api.elsevier.com/content/article/PII:S2666764922000145",""
15,"Ismail Alarab, Simant Prakoonwit","Effect of data resampling on feature importance in imbalanced blockchain data: comparison studies of resampling techniques",2022,"Data Science and Management","Elsevier BV","https://doi.org/10.1016/j.dsm.2022.04.003","",909,"2025-02-06 14:28:58","journal-article","10.1016/j.dsm.2022.04.003","2666-7649","",5,2,66,76,15,5.00,8,2,3,"","https://api.elsevier.com/content/article/PII:S2666764922000145",""
14,"Christine L. Borgman","The Lives and After Lives of Data",2019,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.9a36bdb6","",206,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.9a36bdb6","","",,,,,14,2.33,14,1,6,"","",""
14,"Wendy Martinez, Donna LaLonde","Data Science for Everyone Starts in Kindergarten: Strategies and Initiatives from the American Statistical Association",2020,"Harvard Data Science Review","MIT Press - Journals","https://doi.org/10.1162/99608f92.7a9f2f4d","",224,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.7a9f2f4d","","",,,,,14,2.80,7,2,5,"","",""
14,"F. Jack Smith","Data science as an academic discipline",2006,"Data Science Journal","Ubiquity Press, Ltd.","https://doi.org/10.2481/dsj.5.163","",281,"2025-02-06 14:28:58","journal-article","10.2481/dsj.5.163","1683-1470","",5,,163,164,14,0.74,14,1,19,"","https://doi.org/10.2481/dsj.5.163",""
14,"Harlan Onsrud, James Campbell","Big Opportunities in Access to ""Small Science"" Data",2007,"Data Science Journal","Ubiquity Press, Ltd.","https://doi.org/10.2481/dsj.6.od58","",456,"2025-02-06 14:28:58","journal-article","10.2481/dsj.6.od58","1683-1470","",6,,,,14,0.78,7,2,18,"","https://doi.org/10.2481/dsj.6.OD58",""
14,"William S. Cleveland, Ryan Hafen","Divide and recombine (D&amp;R): Data science for large complex data",2014,"Statistical Analysis and Data Mining: The ASA Data Science Journal","Wiley","https://doi.org/10.1002/sam.11242","",628,"2025-02-06 14:28:58","journal-article","10.1002/sam.11242","1932-1864","",7,6,425,433,14,1.27,7,2,11,"","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fsam.11242",""
14,"Marthe Stevens, Rik Wehrens, Antoinette de Bont","Epistemic virtues and data-driven dreams: On sameness and difference in the epistemic cultures of data science and psychiatry",2020,"Social Science &amp; Medicine","Elsevier BV","https://doi.org/10.1016/j.socscimed.2020.113116","",781,"2025-02-06 14:28:58","journal-article","10.1016/j.socscimed.2020.113116","0277-9536","",258,,113116,113116,14,2.80,5,3,5,"","https://api.elsevier.com/content/article/PII:S027795362030335X",""
14,"Marília Catarina Andrade Gontijo, Raíssa Yuri Hamanaka, Ronaldo Ferreira de Araújo","Research data management: production and impact from Dimensions database data",2022,"Advanced Notes in Information Science","Pro-Metrics","https://doi.org/10.47909/anis.978-9916-9760-3-6.89","",896,"2025-02-06 14:28:58","book-chapter","10.47909/anis.978-9916-9760-3-6.89","2709-3212","",,,,,14,4.67,5,3,3,"The study aims to analyze the scientific production of research data management indexed in Dimensions. Using the term “research data management”, 677 articles were retrieved and analyzed using output and citation bibliometric indicators. The multidisciplinary in research data management was demonstrated by publications occurring in different research areas, such as computer science, information systems, library and information science, medicine and health sciences, and history and archeology. The countries with the highest publication rates were the United States, Germany, and the United Kingdom. About 60% of the publications had at least one citation, with 3,598 citations found, featuring a growing academic impact since the volume of production and citations have grown over time. When it comes to the Big Data era, data management is a topic under development that ensures its sharing and reuse and, consequently, the advancement of science. This bibliometric study made it possible to monitor the literature performance on research data management.","",""
14,"Laura Igual, Santi Seguí","Introduction to Data Science",2017,"Undergraduate Topics in Computer Science","Springer International Publishing","https://doi.org/10.1007/978-3-319-50017-1_1","",920,"2025-02-06 14:28:58","book-chapter","10.1007/978-3-319-50017-1_1","1863-7310","",,,1,4,14,1.75,7,2,8,"","http://link.springer.com/content/pdf/10.1007/978-3-319-50017-1_1",""
13,"Jeannette M. Wing","Ten Research Challenge Areas in Data Science",2020,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.c6577b1f","",795,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.c6577b1f","","",2,3,,,13,2.60,13,1,5,"","",""
13,"Jeannette M. Wing","Ten Research Challenge Areas in Data Science",2020,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.c6577b1f","",862,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.c6577b1f","","",2,3,,,13,2.60,13,1,5,"","",""
12,"Jason B. Cho, Sven Serneels, David S. Matteson","Non-Fungible Token Transactions: Data and Challenges",2023,"Data Science in Science","Informa UK Limited","https://doi.org/10.1080/26941899.2022.2151950","",144,"2025-02-06 14:28:58","journal-article","10.1080/26941899.2022.2151950","2694-1899","",2,1,,,12,6.00,4,3,2,"","https://www.tandfonline.com/doi/pdf/10.1080/26941899.2022.2151950",""
12,"Stefan Huber","Persistent Homology in Data Science",2021,"Data Science – Analytics and Applications","Springer Fachmedien Wiesbaden","https://doi.org/10.1007/978-3-658-32182-6_13","",195,"2025-02-06 14:28:58","book-chapter","10.1007/978-3-658-32182-6_13","","",,,81,88,12,3.00,12,1,4,"","https://link.springer.com/content/pdf/10.1007/978-3-658-32182-6_13",""
12,"Anna de Juan, R. Tauler","Data Fusion by Multivariate Curve Resolution",2019,"Data Handling in Science and Technology","Elsevier","https://doi.org/10.1016/b978-0-444-63984-4.00008-9","",506,"2025-02-06 14:28:58","book-chapter","10.1016/b978-0-444-63984-4.00008-9","0922-3487","",,,205,233,12,2.00,6,2,6,"","https://api.elsevier.com/content/article/PII:B9780444639844000089",""
12,"Mingfang Wu, Fotis Psomopoulos, Siri Jodha Khalsa, Anita de Waard","Data Discovery Paradigms: User Requirements and Recommendations for Data Repositories",2019,"Data Science Journal","Ubiquity Press, Ltd.","https://doi.org/10.5334/dsj-2019-003","",523,"2025-02-06 14:28:58","journal-article","10.5334/dsj-2019-003","1683-1470","",18,,,,12,2.00,3,4,6,"","https://doi.org/10.5334/dsj-2019-003",""
12,"Thomas Davenport, Katie Malone","Deployment as a Critical Business Data Science Discipline",2021,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.90814c32","",903,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.90814c32","","",,,,,12,3.00,6,2,4,"","",""
11,"Ulla Kruhse-Lehtonen, Dirk Hofmann","How to Define and Execute Your Data and AI Strategy",2020,"Harvard Data Science Review","MIT Press - Journals","https://doi.org/10.1162/99608f92.a010feeb","",389,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.a010feeb","","",,,,,11,2.20,6,2,5,"","",""
11,"William W. Hsieh","Evolution of machine learning in environmental science—A perspective",2022,"Environmental Data Science","Cambridge University Press (CUP)","https://doi.org/10.1017/eds.2022.2","",446,"2025-02-06 14:28:58","journal-article","10.1017/eds.2022.2","2634-4602","",1,,,,11,3.67,11,1,3,"Abstract: The growth of machine learning (ML) in environmental science can be divided into a slow phase lasting till the mid-2010s and a fast phase thereafter. The rapid transition was brought about by the emergence of powerful new ML methods, allowing ML to successfully tackle many problems where numerical models and statistical models have been hampered. Deep convolutional neural network models greatly advanced the use of ML on 2D or 3D data. Transfer learning has allowed ML to progress in climate science, where data records are generally short for ML. ML and physics are also merging in new areas, for example: (a) using ML for general circulation model parametrization, (b) adding physics constraints in ML models, and (c) using ML in data assimilation.","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S2634460222000024",""
11,"Bhavani Thuraisingham","Artificial Intelligence and Data Science Governance: Roles and Responsibilities at the C-Level and the Board",2020,"2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science (IRI)","IEEE","https://doi.org/10.1109/iri49571.2020.00052","",803,"2025-02-06 14:28:58","proceedings-article","10.1109/iri49571.2020.00052","","",,,314,318,11,2.20,11,1,5,"","http://xplorestaging.ieee.org/ielx7/9186548/9191372/09191400.pdf?arnumber=9191400",""
